Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Quais são as raízes da equação x² - 9 = 0?;x = 4 e x = 9;x = -8 e x = -2;x = -3 e x = 3;x = -7 e x = 0;C
Quais são as raízes da equação x² - 12x + 32 = 0?;x = -7 e x = -5;x = 4 e x = 8;x = 6 e x = 8;x = -2 e x = 3;B
Quais são as raízes da equação x² - 4x + 3 = 0?;x = -4 e x = 7;x = 2 e x = 8;x = 1 e x = 3;x = -6 e x = 2;C
Quais são as raízes da equação x² - 1x - 6 = 0?;x = 1 e x = 6;x = -7 e x = -4;x = -2 e x = 3;x = -1 e x = 9;C
Quais são as raízes da equação x² + 6x - 7 = 0?;x = 5 e x = 9;x = -6 e x = -1;x = -7 e x = 1;x = 2 e x = 3;C
Quais são as raízes da equação x² - 12x + 32 = 0?;x = -6 e x = -2;x = -4 e x = 2;x = 4 e x = 8;x = -7 e x = 4;C
Quais são as raízes da equação x² - 1x - 56 = 0?;x = 0 e x = 1;x = -7 e x = 8;x = -8 e x = 1;x = -5 e x = -1;B
Quais são as raízes da equação x² - 1x - 56 = 0?;x = -7 e x = 8;x = -4 e x = 8;x = -8 e x = -3;x = 7 e x = 9;A
Quais são as raízes da equação x² - 8x + 7 = 0?;x = -4 e x = 8;x = 0 e x = 6;x = 1 e x = 7;x = -6 e x = 8;C
Quais são as raízes da equação x² - 7x + 10 = 0?;x = 1 e x = 3;x = -8 e x = -1;x = 0 e x = 1;x = 2 e x = 5;D
Quais são as raízes da equação x² - 9x + 18 = 0?;x = -1 e x = 1;x = -7 e x = -2;x = -6 e x = 4;x = 3 e x = 6;D
Quais são as raízes da equação x² - 4x + 3 = 0?;x = -4 e x = -3;x = 1 e x = 3;x = -6 e x = 6;x = 5 e x = 8;B
Quais são as raízes da equação x² + 1x - 56 = 0?;x = -5 e x = 3;x = -8 e x = 4;x = -8 e x = 7;x = -3 e x = 5;C
Quais são as raízes da equação x² - 2x - 8 = 0?;x = -4 e x = 1;x = -1 e x = 5;x = -6 e x = 8;x = -2 e x = 4;D
Quais são as raízes da equação x² + 4x - 21 = 0?;x = -3 e x = 1;x = 2 e x = 7;x = 1 e x = 3;x = -7 e x = 3;D
Quais são as raízes da equação x² - 5x + 6 = 0?;x = -8 e x = 9;x = -4 e x = 9;x = -8 e x = 4;x = 2 e x = 3;D
Quais são as raízes da equação x² - 2x - 3 = 0?;x = -7 e x = -1;x = -8 e x = 5;x = -7 e x = 7;x = -1 e x = 3;D
Quais são as raízes da equação x² - 8x - 9 = 0?;x = -7 e x = 6;x = -1 e x = 9;x = -4 e x = -1;x = 5 e x = 9;B
Quais são as raízes da equação x² - 4x - 12 = 0?;x = -2 e x = 6;x = 1 e x = 8;x = -7 e x = -3;x = 2 e x = 6;A
Quais são as raízes da equação x² - 5x - 36 = 0?;x = -7 e x = 9;x = -6 e x = -5;x = -8 e x = -2;x = -4 e x = 9;D
Quais são as raízes da equação x² + 1x - 20 = 0?;x = -5 e x = 4;x = -7 e x = -1;x = 1 e x = 8;x = -6 e x = 6;A
Quais são as raízes da equação x² + 1x - 42 = 0?;x = -3 e x = 3;x = -7 e x = 6;x = -7 e x = -6;x = -7 e x = 5;B
Quais são as raízes da equação x² - 11x + 30 = 0?;x = -5 e x = 1;x = 5 e x = 6;x = -5 e x = -4;x = -2 e x = -1;B
Quais são as raízes da equação x² - 11x + 30 = 0?;x = -6 e x = 9;x = 5 e x = 6;x = 0 e x = 5;x = 1 e x = 2;B
Quais são as raízes da equação x² + 2x - 8 = 0?;x = -6 e x = 2;x = -8 e x = 1;x = -4 e x = 2;x = 5 e x = 8;C
Quais são as raízes da equação x² + 3x - 4 = 0?;x = -4 e x = 1;x = -8 e x = 7;x = -2 e x = 6;x = 7 e x = 9;A
Quais são as raízes da equação x² - 8x + 7 = 0?;x = -8 e x = -6;x = 1 e x = 7;x = -8 e x = -7;x = 3 e x = 7;B
Quais são as raízes da equação x² + 3x - 40 = 0?;x = -1 e x = 5;x = -7 e x = 3;x = -8 e x = 5;x = -3 e x = 7;C
Quais são as raízes da equação x² - 11x + 28 = 0?;x = 4 e x = 9;x = -8 e x = -5;x = 4 e x = 7;x = -5 e x = 6;C
Quais são as raízes da equação x² - 12x + 32 = 0?;x = 5 e x = 7;x = -7 e x = -5;x = 4 e x = 8;x = 1 e x = 2;C
Quais são as raízes da equação x² - 2x - 63 = 0?;x = -7 e x = 9;x = -6 e x = -1;x = -3 e x = -1;x = -7 e x = 2;A
Quais são as raízes da equação x² - 2x - 15 = 0?;x = -3 e x = 5;x = -4 e x = -3;x = 4 e x = 5;x = -4 e x = 7;A
Quais são as raízes da equação x² - 9x + 20 = 0?;x = 0 e x = 9;x = 4 e x = 5;x = -6 e x = 4;x = -5 e x = -1;B
Quais são as raízes da equação x² + 2x - 48 = 0?;x = -8 e x = 6;x = -7 e x = 6;x = 0 e x = 1;x = -8 e x = 0;A
Quais são as raízes da equação x² - 4x - 32 = 0?;x = -8 e x = -2;x = -6 e x = -3;x = -4 e x = 8;x = 1 e x = 8;C
Quais são as raízes da equação x² - 2x - 35 = 0?;x = -5 e x = 7;x = 6 e x = 8;x = 1 e x = 4;x = -5 e x = -2;A
Quais são as raízes da equação x² - 12x + 35 = 0?;x = 3 e x = 5;x = -4 e x = 8;x = 5 e x = 7;x = 6 e x = 8;C
Quais são as raízes da equação x² - 2x - 48 = 0?;x = -6 e x = 3;x = 1 e x = 4;x = -6 e x = 8;x = 6 e x = 9;C
Quais são as raízes da equação x² - 2x - 8 = 0?;x = 1 e x = 8;x = -2 e x = 4;x = 1 e x = 4;x = -6 e x = 2;B
Quais são as raízes da equação x² + 4x - 12 = 0?;x = -7 e x = -1;x = -4 e x = -1;x = -6 e x = 2;x = -1 e x = 8;C
Quais são as raízes da equação x² - 7x + 12 = 0?;x = 2 e x = 9;x = 4 e x = 6;x = 3 e x = 4;x = -7 e x = 2;C
Quais são as raízes da equação x² - 10x + 21 = 0?;x = 3 e x = 7;x = -7 e x = -1;x = 3 e x = 6;x = -7 e x = 8;A
Quais são as raízes da equação x² - 13x + 42 = 0?;x = -3 e x = 5;x = -5 e x = 9;x = -3 e x = 3;x = 6 e x = 7;D
Quais são as raízes da equação x² - 4x - 21 = 0?;x = -1 e x = 1;x = -1 e x = 8;x = 7 e x = 9;x = -3 e x = 7;D
Quais são as raízes da equação x² - 8x + 15 = 0?;x = -2 e x = 8;x = 3 e x = 5;x = -3 e x = 1;x = -2 e x = -1;B
Quais são as raízes da equação x² + 3x - 28 = 0?;x = 4 e x = 6;x = -2 e x = 9;x = -7 e x = 4;x = -5 e x = 1;C
Quais são as raízes da equação x² - 15x + 56 = 0?;x = 3 e x = 6;x = 7 e x = 8;x = 1 e x = 5;x = -1 e x = 5;B
Quais são as raízes da equação x² + 2x - 35 = 0?;x = -7 e x = 5;x = -4 e x = -3;x = -4 e x = 8;x = -1 e x = 1;A
Quais são as raízes da equação x² + 1x - 12 = 0?;x = -7 e x = -2;x = 3 e x = 8;x = -4 e x = 3;x = -8 e x = 6;C
Quais são as raízes da equação x² - 11x + 24 = 0?;x = -2 e x = 5;x = -3 e x = 4;x = 3 e x = 8;x = -1 e x = 4;C
Quais são as raízes da equação x² - 8x + 12 = 0?;x = -3 e x = 5;x = 2 e x = 6;x = 4 e x = 9;x = -7 e x = 7;B
Quais são as raízes da equação x² - 15x + 54 = 0?;x = -7 e x = 0;x = 6 e x = 9;x = -4 e x = 5;x = 4 e x = 7;B
Quais são as raízes da equação x² - 11x + 24 = 0?;x = 3 e x = 8;x = -3 e x = 5;x = -2 e x = 2;x = 0 e x = 7;A
Quais são as raízes da equação x² - 3x - 10 = 0?;x = 2 e x = 8;x = -2 e x = 5;x = 4 e x = 8;x = -1 e x = 1;B
Quais são as raízes da equação x² - 8x + 12 = 0?;x = -2 e x = -1;x = 2 e x = 6;x = 0 e x = 5;x = -6 e x = 0;B
Quais são as raízes da equação x² - 6x - 7 = 0?;x = -6 e x = 6;x = 3 e x = 7;x = -1 e x = 7;x = 1 e x = 8;C
Quais são as raízes da equação x² - 3x + 2 = 0?;x = 1 e x = 2;x = -6 e x = 1;x = -1 e x = 8;x = -8 e x = -2;A
Quais são as raízes da equação x² - 1x - 12 = 0?;x = -7 e x = 8;x = -2 e x = 5;x = -5 e x = 3;x = -3 e x = 4;D
Quais são as raízes da equação x² - 7x + 6 = 0?;x = 1 e x = 6;x = -4 e x = 5;x = 5 e x = 7;x = 0 e x = 6;A
Quais são as raízes da equação x² - 10x + 21 = 0?;x = 5 e x = 7;x = -4 e x = 3;x = -4 e x = 5;x = 3 e x = 7;D
Quais são as raízes da equação x² + 2x - 8 = 0?;x = -4 e x = 2;x = -5 e x = 0;x = -8 e x = 3;x = -8 e x = 8;A
Quais são as raízes da equação x² - 13x + 42 = 0?;x = 6 e x = 7;x = 0 e x = 7;x = 5 e x = 7;x = 2 e x = 3;A
Quais são as raízes da equação x² - 3x - 28 = 0?;x = -4 e x = 7;x = -1 e x = 3;x = -7 e x = -4;x = 1 e x = 7;A
Quais são as raízes da equação x² - 10x + 21 = 0?;x = 1 e x = 2;x = 3 e x = 7;x = -1 e x = 7;x = -7 e x = 6;B
Quais são as raízes da equação x² + 3x - 10 = 0?;x = 7 e x = 8;x = 6 e x = 8;x = -5 e x = 2;x = -5 e x = 6;C
Quais são as raízes da equação x² - 3x + 2 = 0?;x = -6 e x = -4;x = 1 e x = 2;x = -7 e x = -4;x = -4 e x = -2;B
Quais são as raízes da equação x² + 5x - 14 = 0?;x = -6 e x = -1;x = -7 e x = 2;x = -6 e x = 1;x = 0 e x = 1;B
Quais são as raízes da equação x² - 4x - 5 = 0?;x = -4 e x = 4;x = -1 e x = 5;x = -8 e x = -3;x = -3 e x = 4;B
Quais são as raízes da equação x² - 13x + 42 = 0?;x = 0 e x = 7;x = -7 e x = -5;x = 6 e x = 7;x = -7 e x = -4;C
Quais são as raízes da equação x² - 12x + 35 = 0?;x = -4 e x = -3;x = -3 e x = 9;x = 5 e x = 7;x = 4 e x = 9;C
Quais são as raízes da equação x² - 5x + 4 = 0?;x = 3 e x = 8;x = -6 e x = 4;x = 1 e x = 4;x = -7 e x = -6;C
Quais são as raízes da equação x² + 4x - 12 = 0?;x = -1 e x = 3;x = -3 e x = 2;x = -5 e x = -1;x = -6 e x = 2;D
Quais são as raízes da equação x² - 3x + 2 = 0?;x = -6 e x = -1;x = -8 e x = -7;x = 1 e x = 2;x = -8 e x = 7;C
Quais são as raízes da equação x² - 2x - 24 = 0?;x = 4 e x = 5;x = -4 e x = 6;x = -6 e x = 8;x = -2 e x = -1;B
Quais são as raízes da equação x² - 1x - 72 = 0?;x = -7 e x = 0;x = -8 e x = 9;x = -8 e x = 5;x = -7 e x = 9;B
Quais são as raízes da equação x² - 8x + 15 = 0?;x = 0 e x = 9;x = 3 e x = 5;x = 0 e x = 8;x = 3 e x = 4;B
Quais são as raízes da equação x² - 10x + 24 = 0?;x = -8 e x = 5;x = -2 e x = 2;x = -3 e x = -2;x = 4 e x = 6;D
Quais são as raízes da equação x² - 5x - 36 = 0?;x = -8 e x = -7;x = -4 e x = 9;x = -4 e x = 6;x = 8 e x = 9;B
Quais são as raízes da equação x² - 16 = 0?;x = -7 e x = 3;x = 8 e x = 9;x = -6 e x = -4;x = -4 e x = 4;D
Quais são as raízes da equação x² - 8x + 15 = 0?;x = -4 e x = 5;x = 3 e x = 5;x = -5 e x = 2;x = -2 e x = -1;B
Quais são as raízes da equação x² - 16x + 63 = 0?;x = 7 e x = 9;x = -7 e x = 8;x = -6 e x = 4;x = 5 e x = 8;A
Quais são as raízes da equação x² + 4x - 12 = 0?;x = -6 e x = 2;x = -7 e x = 4;x = -8 e x = 2;x = -3 e x = -1;A
Quais são as raízes da equação x² - 9x + 20 = 0?;x = -2 e x = -1;x = -5 e x = -2;x = 4 e x = 5;x = 0 e x = 4;C
Quais são as raízes da equação x² - 4x - 21 = 0?;x = 5 e x = 7;x = -1 e x = 8;x = -3 e x = 7;x = -8 e x = 3;C
Quais são as raízes da equação x² - 8x + 7 = 0?;x = -4 e x = 6;x = 7 e x = 9;x = 1 e x = 7;x = -5 e x = 7;C
Quais são as raízes da equação x² + 4x - 21 = 0?;x = -7 e x = 3;x = 0 e x = 3;x = 2 e x = 4;x = -8 e x = 0;A
Quais são as raízes da equação x² - 7x + 10 = 0?;x = 5 e x = 8;x = 2 e x = 5;x = -6 e x = 5;x = 1 e x = 5;B
Quais são as raízes da equação x² + 2x - 48 = 0?;x = -4 e x = 6;x = -1 e x = 6;x = -1 e x = 3;x = -8 e x = 6;D
Quais são as raízes da equação x² + 1x - 20 = 0?;x = -7 e x = -5;x = 3 e x = 4;x = -3 e x = 6;x = -5 e x = 4;D
Quais são as raízes da equação x² - 4x - 32 = 0?;x = -8 e x = 0;x = -4 e x = 8;x = -5 e x = -3;x = -6 e x = 7;B
Quais são as raízes da equação x² - 16x + 63 = 0?;x = 7 e x = 9;x = -3 e x = 2;x = -6 e x = 3;x = -8 e x = -5;A
Quais são as raízes da equação x² + 6x - 16 = 0?;x = -5 e x = 6;x = -8 e x = 2;x = -5 e x = -1;x = 5 e x = 7;B
Quais são as raízes da equação x² - 7x + 12 = 0?;x = 3 e x = 4;x = -3 e x = 9;x = -7 e x = 2;x = -8 e x = -4;A
Quais são as raízes da equação x² - 6x + 8 = 0?;x = -1 e x = 4;x = 0 e x = 4;x = 6 e x = 7;x = 2 e x = 4;D
Quais são as raízes da equação x² - 8x + 15 = 0?;x = 0 e x = 8;x = -4 e x = 7;x = -4 e x = 8;x = 3 e x = 5;D
Quais são as raízes da equação x² - 6x + 8 = 0?;x = -8 e x = 5;x = -7 e x = -5;x = 2 e x = 4;x = -4 e x = -2;C
Quais são as raízes da equação x² - 12x + 27 = 0?;x = -1 e x = 2;x = -7 e x = 9;x = 0 e x = 9;x = 3 e x = 9;D
Qual é o valor de log de 100 na base 10?;2;12;5;8;A
Qual é o valor de log de 4 na base 2?;7;2;9;12;B
Qual é o valor de log de 25 na base 5?;16;2;11;7;B
Qual é o valor de log de 625 na base 5?;17;8;4;18;C
Qual é o valor de log de 8 na base 2?;3;2;6;13;A
Qual é o valor de log de 27 na base 3?;17;3;6;9;B
Qual é o valor de log de 8 na base 2?;16;3;1;9;B
Qual é o valor de log de 81 na base 3?;9;4;17;15;B
Qual é o valor de log de 27 na base 3?;7;9;3;8;C
Qual é o valor de log de 3125 na base 5?;11;15;8;5;D
Qual é o valor de log de 27 na base 3?;1;4;3;9;C
Qual é o valor de log de 100 na base 10?;2;10;14;9;A
Qual é o valor de log de 3125 na base 5?;15;4;5;2;C
Qual é o valor de log de 243 na base 3?;11;1;5;13;C
Qual é o valor de log de 100000 na base 10?;5;12;7;15;A
Qual é o valor de log de 100 na base 10?;2;3;10;5;A
Qual é o valor de log de 243 na base 3?;2;17;11;5;D
Qual é o valor de log de 100 na base 10?;7;3;8;2;D
Qual é o valor de log de 9 na base 3?;5;2;15;9;B
Qual é o valor de log de 25 na base 5?;2;3;16;13;A
Qual é o valor de log de 81 na base 3?;18;16;2;4;D
Qual é o valor de log de 27 na base 3?;12;3;9;5;B
Qual é o valor de log de 1000 na base 10?;9;10;3;5;C
Qual é o valor de log de 16 na base 2?;4;18;8;7;A
Qual é o valor de log de 16 na base 2?;6;7;3;4;D
Qual é o valor de log de 10000 na base 10?;7;4;12;3;B
Qual é o valor de log de 81 na base 3?;2;13;10;4;D
Qual é o valor de log de 81 na base 3?;9;3;1;4;D
Qual é o valor de log de 125 na base 5?;3;17;2;14;A
Qual é o valor de log de 625 na base 5?;3;1;6;4;D
Qual é o valor de log de 1000 na base 10?;16;6;4;3;D
Qual é o valor de log de 243 na base 3?;16;7;5;6;C
Qual é o valor de log de 243 na base 3?;18;5;11;9;B
Qual é o valor de log de 16 na base 2?;18;6;4;15;C
Qual é o valor de log de 27 na base 3?;3;14;9;1;A
Qual é o valor de log de 81 na base 3?;4;16;6;15;A
Qual é o valor de log de 125 na base 5?;6;3;12;17;B
Qual é o valor de log de 27 na base 3?;3;8;15;17;A
Qual é o valor de log de 4 na base 2?;2;10;9;7;A
Qual é o valor de log de 243 na base 3?;5;15;9;3;A
Qual é o valor de log de 32 na base 2?;3;5;2;6;B
Qual é o valor de log de 32 na base 2?;18;10;5;16;C
Qual é o valor de log de 125 na base 5?;7;2;17;3;D
Qual é o valor de log de 1000 na base 10?;3;13;8;5;A
Qual é o valor de log de 243 na base 3?;8;15;1;5;D
Qual é o valor de log de 9 na base 3?;16;2;1;10;B
Qual é o valor de log de 100000 na base 10?;19;5;12;1;B
Qual é o valor de log de 3125 na base 5?;15;14;12;5;D
Qual é o valor de log de 100 na base 10?;16;2;12;10;B
Qual é o valor de log de 243 na base 3?;8;16;5;12;C
Qual é o valor de log de 9 na base 3?;1;8;2;7;C
Qual é o valor de log de 625 na base 5?;18;4;8;13;B
Qual é o valor de log de 8 na base 2?;3;11;8;2;A
Qual é o valor de log de 3125 na base 5?;10;16;4;5;D
Qual é o valor de log de 16 na base 2?;18;10;15;4;D
Qual é o valor de log de 1000 na base 10?;3;0;15;7;A
Qual é o valor de log de 243 na base 3?;12;8;14;5;D
Qual é o valor de log de 1000 na base 10?;9;2;3;10;C
Qual é o valor de log de 8 na base 2?;3;0;7;14;A
Qual é o valor de log de 8 na base 2?;2;17;3;14;C
Qual é o valor de log de 16 na base 2?;0;4;13;6;B
Qual é o valor de log de 27 na base 3?;2;7;6;3;D
Qual é o valor de log de 25 na base 5?;14;2;3;15;B
Qual é o valor de log de 125 na base 5?;2;4;3;11;C
Qual é o valor de log de 9 na base 3?;3;14;2;10;C
Qual é o valor de log de 27 na base 3?;7;16;3;4;C
Qual é o valor de log de 9 na base 3?;15;11;0;2;D
Qual é o valor de log de 16 na base 2?;3;6;7;4;D
Qual é o valor de log de 125 na base 5?;14;7;3;8;C
Qual é o valor de log de 4 na base 2?;8;2;15;12;B
Qual é o valor de log de 4 na base 2?;3;2;16;0;B
Qual é o valor de log de 4 na base 2?;2;15;16;6;A
Qual é o valor de log de 4 na base 2?;11;5;1;2;D
Qual é o valor de log de 243 na base 3?;8;2;5;3;C
Qual é o valor de log de 32 na base 2?;5;9;19;14;A
Qual é o valor de log de 32 na base 2?;8;5;6;4;B
Qual é o valor de log de 16 na base 2?;9;4;11;6;B
Qual é o valor de log de 9 na base 3?;12;7;2;6;C
Qual é o valor de log de 25 na base 5?;3;4;7;2;D
Qual é o valor de log de 125 na base 5?;7;0;3;5;C
Qual é o valor de log de 27 na base 3?;3;4;14;6;A
Qual é o valor de log de 243 na base 3?;11;13;5;15;C
Qual é o valor de log de 27 na base 3?;15;14;8;3;D
Qual é o valor de log de 10000 na base 10?;12;3;9;4;D
Qual é o valor de log de 8 na base 2?;3;9;11;10;A
Qual é o valor de log de 8 na base 2?;15;3;4;13;B
Qual é o valor de log de 100 na base 10?;2;8;15;10;A
Qual é o valor de log de 4 na base 2?;3;15;13;2;D
Qual é o valor de log de 625 na base 5?;1;12;2;4;D
Qual é o valor de log de 10000 na base 10?;16;2;10;4;D
Qual é o valor de log de 16 na base 2?;11;4;9;15;B
Qual é o valor de log de 100 na base 10?;8;5;14;2;D
Qual é o valor de log de 4 na base 2?;10;13;2;5;C
Qual é o valor de log de 1000 na base 10?;1;3;7;15;B
Qual é o valor de log de 27 na base 3?;17;16;3;9;C
Qual é o valor de log de 81 na base 3?;4;12;0;15;A
Qual é o valor de log de 9 na base 3?;2;4;3;7;A
Qual é o valor de log de 100 na base 10?;11;2;3;8;B
Qual é o valor de log de 32 na base 2?;10;5;19;17;B
Qual é o valor de log de 100000 na base 10?;13;5;18;15;B
Qual é o valor de log de 8 na base 2?;1;14;3;0;C
Qual é o valor de log de 25 na base 5?;3;6;1;2;D
Qual é o valor de log de 3125 na base 5?;8;5;16;18;B
Qual é o valor de log de 243 na base 3?;11;0;19;5;D
Qual é o valor de log de 3125 na base 5?;14;17;0;5;D
Qual é o valor de log de 1000 na base 10?;3;4;8;17;A
Qual é o valor de log de 81 na base 3?;14;15;6;4;D
Qual é o valor de log de 81 na base 3?;4;15;13;10;A
Qual é o valor de log de 9 na base 3?;2;8;4;16;A
Qual é o valor de log de 3125 na base 5?;19;5;17;3;B
Qual é o valor de log de 9 na base 3?;2;8;9;4;A
Qual é o valor de log de 25 na base 5?;2;10;12;3;A
Qual é o valor de log de 243 na base 3?;2;13;10;5;D
Qual é o valor de log de 100000 na base 10?;0;6;5;13;C
Qual é o valor de log de 16 na base 2?;4;16;6;13;A
Qual é o valor de log de 243 na base 3?;17;9;5;1;C
Qual é o valor de log de 243 na base 3?;15;16;5;0;C
Qual é o valor de log de 625 na base 5?;4;15;12;18;A
Qual é o valor de log de 10000 na base 10?;0;4;12;11;B
Qual é o valor de log de 27 na base 3?;0;7;3;12;C
Qual é o valor de log de 8 na base 2?;16;0;13;3;D
Qual é o valor de log de 3125 na base 5?;11;1;5;3;C
Qual é o valor de log de 16 na base 2?;0;10;4;11;C
Qual é o valor de log de 4 na base 2?;5;15;8;2;D
Qual é o valor de log de 10000 na base 10?;16;14;12;4;D
Qual é o valor de log de 625 na base 5?;14;2;1;4;D
Qual é o valor de log de 4 na base 2?;14;2;1;11;B
Qual é o valor de log de 243 na base 3?;13;5;11;4;B
Qual é o valor de log de 27 na base 3?;7;2;17;3;D
Qual é o valor de log de 1000 na base 10?;8;11;2;3;D
Qual é o valor de log de 243 na base 3?;8;9;14;5;D
Qual é o valor de log de 243 na base 3?;7;6;5;10;C
Qual é o valor de log de 3125 na base 5?;0;3;9;5;D
Qual é o valor de log de 9 na base 3?;2;1;15;14;A
Qual é o valor de log de 16 na base 2?;17;1;5;4;D
Qual é o valor de log de 16 na base 2?;16;17;7;4;D
Qual é o valor de log de 25 na base 5?;2;15;9;14;A
Qual é o valor de log de 100000 na base 10?;5;17;13;15;A
Qual é o valor de log de 100000 na base 10?;1;17;5;12;C
Qual é o valor de log de 3125 na base 5?;4;17;19;5;D
Qual é o valor de log de 625 na base 5?;4;17;8;6;A
Qual é o valor de log de 25 na base 5?;8;2;12;13;B
Qual é o valor de log de 10000 na base 10?;8;5;17;4;D
Qual é o valor de log de 16 na base 2?;12;17;6;4;D
Qual é o valor de log de 10000 na base 10?;11;17;4;5;C
Qual é o valor de log de 1000 na base 10?;3;2;7;15;A
Qual é o valor de log de 625 na base 5?;4;7;5;8;A
Qual é o valor de log de 25 na base 5?;4;13;2;9;C
Qual é o valor de log de 25 na base 5?;2;7;3;9;A
Qual é o valor de log de 4 na base 2?;5;16;6;2;D
Qual é o valor de log de 125 na base 5?;0;7;16;3;D
Qual é o valor de log de 100 na base 10?;2;13;14;5;A
Qual é o valor de log de 8 na base 2?;3;4;11;0;A
Qual é o valor de log de 32 na base 2?;1;5;17;4;B
Qual é o valor de log de 4 na base 2?;7;2;16;0;B
Qual é o valor de log de 8 na base 2?;5;15;3;11;C
Qual é o valor de log de 4 na base 2?;6;2;7;0;B
Qual é o valor de log de 4 na base 2?;1;10;6;2;D
Qual é o valor de log de 125 na base 5?;3;12;6;16;A
Qual é o valor de log de 243 na base 3?;10;11;5;15;C
Qual é o valor de log de 10000 na base 10?;1;4;7;18;B
Qual é o valor de log de 10000 na base 10?;12;4;0;14;B
Qual é o valor de log de 10000 na base 10?;4;8;11;1;A
Qual é o valor de log de 100 na base 10?;2;4;5;3;A
Qual é o valor de log de 125 na base 5?;3;9;4;1;A
Qual é o valor de log de 32 na base 2?;3;5;1;15;B
Qual é o valor de log de 1000 na base 10?;12;3;7;16;B
Qual é o valor de log de 32 na base 2?;5;7;8;14;A
Qual é o valor de log de 4 na base 2?;11;16;10;2;D
Qual é o valor de log de 100000 na base 10?;1;13;10;5;D
Qual é o valor de log de 100 na base 10?;11;14;9;2;D
